id,user,user_id,date,rating,title,text
Z3A6QU9xcFRPRWNrUGpCUmtXZGVIY3IyNzJ2X3ZPYXlCS19GNlJIUDdfTmMybXVBZlBJTTNsN05XdGlPZVlkOFJZZl9RUGMtRDh4UmtwMWZrRVdYOURFcGt3,Nickolas Carr,104866604341081600767,"March 31, 2014",1,FIX THE KEYBOARD COMPATABILITY!!!!!,"I launched the app to work on a word document for school with my keyboard for my tablet. after connecting my keyboard to my tablet after launching the app it doesn't work for this app. My keyboard works for google drive, but not this app. Please Microsoft FIX THE ISSUE!!!"
Z3A6QU9xcFRPSGd3YWdodVMwaTU5TkFuM21IemRFVmxGa3N1ZGpBNmVPc09sbkwtM2hCSnRxOEVTdFZxNHpQUGQzU0dDWUdocDNnVkVXb1VBMUlsOHdzN2Nv,Ashish Mehta,105906107750445434235,"March 31, 2014",4,"",microsoft offering its products to android users is always a pleasure
Z3A6QU9xcFRPSHhfRXVhVTNaUUpmTTFKMDl6MmRUQi1kSkMtTEtGWlJFU2UtS0dJWnNUZEQzdmg2VmJXZVREMDJJaTJCR2ZxWldWQUUtVUlMYU5Ob3NqbGg4,Marcus McKay,102557226859570377269,"March 31, 2014",1,NO Bluetooth Keyboard Support,I cannot get the Word application to recognize input from a bluetooth keyboard.  I know the keyboard works fine because I am writing this review with it on my phone.
Z3A6QU9xcFRPRjdMQWdFUzJzT2xNSmJhVnFvVGZDeG1JVVcxQU9LaTB4VGFIUXJzN0RZYkxLaGktVXVZLVBiVUVmQTA2ZnlTNW1LbjlaMmhGQ1NxRGRyV1M4,anish das,111176558342961694850,"March 31, 2014",5,"",90 % SIMILAR..like MO of computer......
Z3A6QU9xcFRPRkFnQnpTV3BBTFBOTnNlWVRPbnA0TmNibkhHbzBkLUZkTlVoSDJPLXJ1OEdFbl9Tb3VYZm5ITy1TYl9Sc19pLUp1RmFRSVAzQ3gzV0pjXzhv,Michael Rubin,114886245476068609973,"March 31, 2014",1,Needs work,"First off, not having any local storage is bad. Second, the example files are all in Latin. Third, why is this not compatible with the Galaxy Note 10.1 tablet?"
Z3A6QU9xcFRPSFBlUTRibk42UVQzMWdEYWdHdmEtSlFid1N3X044SV9HY0U1VVZaMjNhOERyT2cxbDRLY3FMX0s4RXNyX1RNV0xUNy1hY3FsNGtsRXFXczZJ,Ian Barua,107804233357546746680,"March 31, 2014",3,"",Needs improvement. And ability to create powerpoint presentations as well.
Z3A6QU9xcFRPRjVPa2xhV0JGdXFvVHdKZ191S09RU0tQY0FsYVh3UGdXazVnQmFSeWFTSF9kV3laY3lMWHVRekE0Wms0SlR0NGpJczZ2S1huX1Y2Rmw5eUNr,Karim N,110908144137576517459,"March 31, 2014",3,need more editing option,need more editing option in microsoft word and excel and need powerpoint. come on Microsoft other apps did better than you
Z3A6QU9xcFRPR1hLX2Q0czVDQm9CUG9KMFJPbzhzZmFnUHRGXzJUS05Ec0Q0TkdkRGRiTE1HR204a3ZVYVZfZDFvTWEyWmMtZlZiM3IxLUQ0dk45MUNEMHdz,Anirudh Munna,113614205272792500298,"March 31, 2014",5,Superb,Its an awesome app
Z3A6QU9xcFRPSE9nNlhDMTRyNm4tbDBCeHRJXzM4NzBWMWxWejRNTElKVWRwUnpBOENqbVFZU180My1RWFdwd2V0bXczVlBXRElMVTZocXYzc0FQUEVlTWZj,Djordje Petrovic,110684039416184183124,"March 31, 2014",5,Superb,As good as ever
Z3A6QU9xcFRPRlZXOFlKVHl4cmRIMWNncDhObVRZOE5oc0xwM1JhZzFNMld3dm9leU54eFdHdVl6S2dENUpwaDZsNVZNOUI1emo0OGhtR05icmZQRkwtaDBB,David Martinez,108147176417635273874,"March 31, 2014",1,"",Won't allow me to sign in. I can't use the app.
Z3A6QU9xcFRPR1p6N19lLW9RRkNDNUowcTlERXRJZzFVX3JQcjhmOTl1bDB4SEdWTEN6VkV3MVJ5eGVRdWJkWmMyUTVZTENQZENISE9Eb3o0NlJmM29Yd3U4,Satish Padhy,115992774352369109860,"March 31, 2014",1,Bad,Can't login using my hotmail id. Uninstalled it
Z3A6QU9xcFRPR1NYTjEwc0w0a2tGdzdUaVdHYUFmMHVHUW5WdkhUSVFJLVE1LXZNaHRYa2Fld3NtSHg0UXdXLS04WWFfRV9BcWhKNWE1SXpFUVJvb1dTeWJr,Abhishek Suresh,105151993580384309325,"March 31, 2014",5,nice move,finally free
Z3A6QU9xcFRPSHpQcGo4WEV6eEtySEd3WHdIWHZvREVmbjFVOGFDcFd0TnZTNl8zUHktaGdmTlVuanhUS1E0SGpxcEsteGxjdWdzSHgwWFdLdkF0UDkyNDVV,Rad Frencel,111978269847730013445,"March 31, 2014",1,Alpha Release? When will you release Beta?,"Thanks for a crashy app, Microsoft - it's certainly worth its price (as it costs nothing). I'm glad I use Android, Linux and iOS more than your OS's. Keep on releasing such buggy aps and Android and iOS will be extremely happy."
Z3A6QU9xcFRPSFM2ZnBQaGNVZVRuazZMVndiYU05T0JLQWJnUjVEaVdZMUpRR1V5OThsOGxsQUZkUlhIN2RmWUh0QUR6cjNKMU5vSXNSRnlVeWlLS21QS3BJ,Martin Sukadi,104573543174570972572,"March 31, 2014",1,Surprisingly Disappointing,No local storage thus forcing everyone to use Microsoft own cloud drive? Seriously?
Z3A6QU9xcFRPSFFVVWVFWXNrTE1NbW5wY0h5TDFOREdlYXdUaGM3MF9feVBNNmhYMkFZNU5TYU1yQ1ZDSEVBaW5UcmtlM3k0Wlp3b0xra3JHbWNWVzZSYmQw,Kyle Johnson,104224217099894189861,"March 31, 2014",2,Okay,Very limited word processor quickoffice still rules...it's a shame because I use onedrive and I have no use for quickoffice. Kingsoft is decent
Z3A6QU9xcFRPR2JjbEVyVFd0M1AzZUZqd19FaWxVVFNZT0s4T3MxSndWbHVGQkpZQlh6N3V2UkVHdVVZRDh1VkJIQ0ZQUXZ0a2xmRVIwUUNveEZ3MTFycWU0,Dmytro Lukianchuk,100200816309647683823,"March 31, 2014",1,Couldn't even open the App first time. Nexus 5,"I've installed this App and on the log in, it's hung. i do have MS account, but couldn't log in. Sign Up link does nothing.  Nexus5, Android 4.4.2"
Z3A6QU9xcFRPSF9wTFA5c3RyOFFmR2w0ZmRyS1RUcjFtclV1d1pQRUtpVmVaWWJlVHE3U0tqRDBZZHFPVXJOdnluTE9lNGJmZkhPaWVNTWMzamVGSWg5REtV,andee de lioncourt,117295500967758419916,"March 31, 2014",4,On,Test
Z3A6QU9xcFRPRkE2VjJGLTdxNmNjeHFDemZIZDU4c1Mwb2lMRmdqR2lFQkNldjQ3cFpQbWp1MmQ1Q2FmUDlxc1dKOHFGUk5ZWjh3eXhSN3B4TTZwYVN6b1Mw,kelli blue,106381658575204962200,"March 31, 2014",3,App doesn't work on tablets,"Hey Microsoft - sure would be nice if you would make this app compatible with LARGER DEVICES like Nexus 7, Galaxy Note 10, etc. before making it for smart phones. Hurry up and create these please."
Z3A6QU9xcFRPSG1ITzBZdGZhek8tSVktbkpNZW1hTkhCNjZ1MnlvTXZXVzJ1cUxET0NmVnNiX3A2RzF0NTlvTUtsSmlRaHgwemQxVkZBdjQwX2RqN000MnhN,Lincoln Stewart,101825733778561355139,"March 31, 2014",1,Requires Microsoft email,No thanks.
Z3A6QU9xcFRPRmtyVEFnR3QtYjZQYk4tN0xYWXVsempfZzVQUjJQTERDbHVpYkxzSFBEQW9XSGFnQ0NoS0h0NU43N2JyOGlEOTVQNzBSUEwxb2FvRjdYUDF3,Amit Pratihari,110549415107955386403,"March 31, 2014",3,Mind blowing,Awaysome
Z3A6QU9xcFRPR1dDdnEwbHpXYUFWMm5VazUxUWhvTjl0YmFveW5ReW1iYWxfcVZkQlhhVFlOelRTU09KLWlZVTREQ1dIbjhqUF8ydnpXWWU5dVNZckZvR0FV,shyla kp,105107855304086893994,"March 31, 2014",5,Good,Better than Googles Quick office..
